Time,bit-x,bitbay,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken
2018-11-04 05:00:00 UTC,6325.54294117647,,6364.43897051164,6329.64988888888,6385.44663212435,6330.93381443301,6447.0246778603,6326.03452830189,6324.82074074074,6326.1125
2018-11-04 06:00:00 UTC,6327.06081081081,,6387.46085719711,6337.34975,6388.89582689336,6337.31122433463,6458.009581326,6336.90675675676,6337.46202127659,6338.1727536232
2018-11-04 07:00:00 UTC,6327.34518518519,,6390.06505737692,6337.3696039604,6385.85601317955,6339.11409948538,6446.40958901202,6336.32578947368,6337.52,6339.10909090909
2018-11-04 08:00:00 UTC,6327.31726415094,,6401.66823855259,6335.74744,6383.16363636362,6338.62993987976,6442.06296325351,6340.73702702703,6340.46,6340.64893617022
2018-11-04 09:00:00 UTC,6325.32489361702,,6407.22521430571,6335.91136363637,6381.60486111111,6340.14236883942,6444.46249564497,6340.875,6341.0025,6339.75190839695
2018-11-04 10:00:00 UTC,6326.51,,6393.01215499919,6336.33656862745,6376.83087971274,6337.38169260703,6439.07225017788,6341.28076923077,6338.66071428571,6339.44130434783
2018-11-04 11:00:00 UTC,,,6399.38783580571,6343.57853658537,6378.60976058935,6342.05196495621,6441.32913439324,6342.8715,6342.27090909091,6343.25
2018-11-04 12:00:00 UTC,,,6399.61918167656,6342.32522935779,6389.37562604341,6344.79925353923,6441.74840460604,6344.99882352941,6344.16,6344.74634146342
2018-11-04 13:00:00 UTC,,,6407.53976915249,6347.00323353295,6402.77873070326,6345.44320154292,6439.0536401279,6347.59577777778,6347.69793103449,6347.32777777778
2018-11-04 14:00:00 UTC,,,6406.23532077246,6347.304522293,6395.22271944921,6347.02971644612,6443.86290644136,6348.71230769231,6346.92087719298,6347.22363636363
2018-11-04 15:00:00 UTC,6357.75,,6469.28483242057,6394.1565451895,6416.90823095822,6376.28677679884,6477.52015990014,6376.26712264151,6392.49295392953,6414.81808396126
2018-11-04 16:00:00 UTC,6398.46215686274,,6468.66293150925,6412.9914555256,6455.72535575679,6411.4961795775,6490.960776334,6410.63030303031,6411.98304207119,6411.58962962963
2018-11-04 17:00:00 UTC,6398.04042253521,,6465.42081350001,6407.303,6448.07085076708,6409.53476074228,6482.88753559108,6411.51617021277,6409.12764102565,6408.69315789473
2018-11-04 18:00:00 UTC,6437.10319148936,,6495.92067794692,6441.39400262468,6476.93575883578,6437.8578652124,6500.18232407494,6435.65331491712,6435.84200549451,6441.79269406392
2018-11-04 19:00:00 UTC,6431.50625,,6498.19030108496,6429.52113861386,6478.22803468209,6431.2529272071,6491.67762260314,6431.36747663552,6429.45353383458,6433.01362318841
2018-11-04 20:00:00 UTC,6418.36386904762,,6486.8439924604,6421.65736654805,6473.97549194992,6420.59302802806,6471.36905462115,6421.556625,6423.3245,6422.67226027397
2018-11-04 21:00:00 UTC,6418.49382022472,,6482.89740544497,6418.8454601227,6459.81392190152,6416.2596393252,6474.39437547041,6416.68795698925,6418.35675324675,6417.69758064516
2018-11-04 22:00:00 UTC,6410.2028125,,6475.06808080402,6409.56191011236,6448.08950381677,6413.6925461807,6477.37895199223,6414.07428571429,6415.19779527558,6415.22447552447
2018-11-04 23:00:00 UTC,6419.38347826087,,6482.84892153824,6419.03654320988,6449.11197053406,6419.12233115451,6486.81632945289,6421.69913043478,6416.4391780822,6414.78148148148
2018-11-05 00:00:00 UTC,6427.41094674556,,6487.6755642734,6425.90668122271,6456.35925266904,6429.00414454276,6496.1789844361,6429.28580645161,6430.48679245283,6425.90573248408
2018-11-05 01:00:00 UTC,6426.41372093023,,6484.96020085485,6423.98355828222,6464.03194945847,6430.011849162,6498.06718898871,6421.50828828829,6429.48946428571,6428.199009901
2018-11-05 02:00:00 UTC,6417.37798850574,,6471.09369969236,6416.60928176794,6464.17279411764,6418.70771335502,6489.26180213121,6416.69171511629,6418.5203030303,6416.53302752293
2018-11-05 03:00:00 UTC,6418.57689265537,,6472.13209290898,6418.47086614173,6465.8974533107,6418.1657813595,6488.0783747375,6416.64881188119,6418.95925,6420.06296296296
2018-11-05 04:00:00 UTC,6407.26467032967,,6467.41666661724,6406.72037499999,6456.925,6407.7597375105,6478.49498344641,6406.09008130084,6408.32058823529,6411.65714285714
2018-11-05 05:00:00 UTC,6405.90545454545,,6469.22235157634,6405.87306358382,6445.16614785989,6407.76291904208,6469.51980870504,6404.30473354232,6406.07242424242,6409.81728395062
2018-11-05 06:00:00 UTC,6411.44459770115,,6473.37383667612,6412.50824644548,6446.59005424953,6412.90059788976,6464.57960002548,6409.12251612903,6411.2715,6413.52133333333
2018-11-05 07:00:00 UTC,6411.39262295082,,6472.4046814483,6411.47881081081,6451.63495440731,6413.41962025317,6463.29860810277,6412.46482857145,6411.75142857143,6413.49666666667
2018-11-05 08:00:00 UTC,6402.4636516854,,6460.40142882387,6400.89028011204,6448.76688851912,6404.02878164557,6465.41221087838,6404.04684310021,6398.81609375,6403.13486238531
2018-11-05 09:00:00 UTC,6398.89250000001,,6450.81507160679,6397.69062500001,6446.83024793387,6397.27774869108,6463.42366789156,6391.03420289856,6397.38696428572,6395.29105691057
2018-11-05 10:00:00 UTC,6398.61844827586,,6455.61894077504,6398.6115648855,6444.80665467626,6398.19091603052,6459.71421524773,6393.52821285141,6400.0425,6401.4875
2018-11-05 11:00:00 UTC,6400.82943820225,,6455.80234262692,6401.01447368421,6444.36570945947,6397.54374183008,6462.38457681029,6393.126827957,6401.41904761905,6401.36440677966
