Time,bit-x,bitbay,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken
2018-10-06 22:00:00 UTC,6541.88086705203,,6590.37196186478,6541.2664137931,6566.34654205606,6548.41743749999,6621.218767209,6551.43849462365,6549.7035632184,6550.3734939759
2018-10-06 23:00:00 UTC,6544.10389830509,,6589.73069043265,6544.64854368932,6569.21404174572,6549.86737384137,6619.91802309771,6548.66639175258,6549.68787234042,6549.92340425532
2018-10-07 00:00:00 UTC,6549.43534883721,,6597.06292871505,6549.46914691943,6567.96563786007,6553.79750843646,6614.95361783122,6554.56563829787,6557.45911764706,6551.72727272727
2018-10-07 01:00:00 UTC,6549.0056424581,,6595.56222717989,6547.16417040358,6581.75873221215,6550.14178592208,6618.54349504098,6554.07201612904,6554.21563829787,6550.26046511628
2018-10-07 02:00:00 UTC,6550.87029585799,,6600.16303100865,6552.99073170731,6589.71813880126,6553.92455832775,6619.34532527,6558.45426666667,6558.66,6559.62151898734
2018-10-07 03:00:00 UTC,6549.23480874317,,6600.33235667392,6550.18772727273,6587.28835978834,6553.18178685383,6628.04392314,6557.49179775281,6555.70813559322,6557.495
2018-10-07 04:00:00 UTC,6546.20375,,6598.09790062382,6546.92103448276,6587.97996146435,6552.26721231765,6633.44704353794,6556.07916666667,6550.9288,6552.18510638298
2018-10-07 05:00:00 UTC,6539.37961325967,,6589.64248999925,6539.94347457627,6585.62161100197,6548.98429284522,6629.11062850377,6550.7188,6545.27227272727,6547.38656716418
2018-10-07 06:00:00 UTC,6538.245,,6589.96787247933,6539.97745454545,6589.8499089253,6544.62772380956,6623.18476904158,6547.72923076923,6545.73935483871,6544.63947368421
2018-10-07 07:00:00 UTC,6537.83335294117,,6578.14597268282,6536.33896551725,6583.43663366336,6542.48291296618,6619.0476052582,6541.3612,6539.83521739131,6539.98412698412
2018-10-07 08:00:00 UTC,6511.86070588235,,6545.90567720949,6509.83351804124,6547.64378920952,6513.67058001405,6598.41753791547,6509.107,6514.1535,6507.88880208332
2018-10-07 09:00:00 UTC,6516.59597633136,,6552.38926630676,6516.31254901962,6546.43711711712,6518.5905509642,6592.66034194952,6524.79861111111,6520.20588235294,6515.17215189873
2018-10-07 10:00:00 UTC,6520.20412698412,,6562.01229401208,6520.27406896552,6555.95739910314,6521.28764367815,6606.40969922051,6525.98014705882,6525.99619047619,6522.97862068966
2018-10-07 11:00:00 UTC,6517.00160220995,,6557.90311556627,6516.94470930232,6541.67897350993,6517.11354051053,6605.49690492821,6524.64023809524,6524.9935,6518.14074074075
2018-10-07 12:00:00 UTC,6512.92147540984,,6553.53415960367,6513.38011363636,6526.8403374233,6512.88301905719,6600.98900816405,6517.55441860465,6516.865,6518.17333333333
2018-10-07 13:00:00 UTC,6527.64094444445,,6568.76123756932,6525.84198630138,6526.87145669289,6526.96282195638,6604.09103062505,6523.788,6534.405,6524.57196261683
2018-10-07 14:00:00 UTC,6527.05270114942,,6563.00026928272,6525.1514556962,6525.81950844853,6523.6716121356,6606.39219080656,6521.97785714286,6526.03238095238,6523.11650485437
2018-10-07 15:00:00 UTC,6525.52017142857,,6573.84221286311,6525.33581699346,6538.4139414802,6532.33096656215,6618.47925038739,6533.4350862069,6534.5475,6528.23559322034
2018-10-07 16:00:00 UTC,6522.72704545455,,6573.82126658055,6522.61645569619,6538.3955882353,6530.11987869969,6613.26455266822,6529.96197674418,6533.40461538462,6526.9625
2018-10-07 17:00:00 UTC,6530.34369942196,,6584.03301427458,6532.12765100671,6543.77407407407,6532.93123188411,6619.5543902017,6534.26136363636,6543.5205,6533.77241379311
2018-10-07 18:00:00 UTC,6534.45742514971,,6593.75863552816,6535.03823529412,6552.07667304014,6536.55575123834,6628.41019023677,6536.93537499999,6540.35553191489,6539.23033707865
2018-10-07 19:00:00 UTC,6535.7651396648,,6593.49022007496,6535.33599999999,6559.07003816793,6536.87600398616,6623.03644057429,6536.88633333333,6537.65255319149,6539.37272727273
2018-10-07 20:00:00 UTC,6527.85984126984,,6580.43755630718,6527.85300970873,6553.70152671756,6534.87881183063,6626.5870590749,6535.0770967742,6533.57657142857,6533.60348837209
2018-10-07 21:00:00 UTC,6530.86363157895,,6581.91211337088,6530.09277777778,6550.46867167917,6534.13695457094,6627.63962536724,6532.47133333333,6536.34174603175,6536.51111111111
2018-10-07 22:00:00 UTC,6535.64305084746,,6585.9449231148,6535.26539215687,6554.32916666667,6534.27332110079,6622.13461670833,6532.86246376812,6538.57076923077,6537.19696969697
2018-10-07 23:00:00 UTC,6541.72428571429,,6616.83066140927,6575.96684039087,6571.71233859397,6560.32161820957,6636.74664797619,6562.03196428571,6567.50191489362,6565.42551252847
2018-10-08 00:00:00 UTC,6555.51,,6616.1983716478,6571.57263779527,6570.18167701864,6569.45924148604,6640.99426884778,6571.95847457627,6576.63684210526,6567.08975609756
2018-10-08 01:00:00 UTC,6555.05666666667,,6612.85929459401,6567.02352941177,6567.43175675675,6566.77273995541,6645.66274210271,6570.4394308943,6572.64871794872,6567.90178571429
2018-10-08 02:00:00 UTC,6553.55715151515,,6606.20286061385,6559.28735000002,6557.4913580247,6560.40556818181,6637.69687732886,6558.97354497354,6564.504,6558.868
2018-10-08 03:00:00 UTC,6553.4435978836,,6604.59610620835,6557.50943925234,6555.23157894737,6558.02018897632,6637.76526253659,6556.5897,6564.12815789474,6558.559375
2018-10-08 04:00:00 UTC,6552.73733695652,,6603.74293658926,6555.6443918919,6558.36094527363,6557.70244370306,6640.43965384119,6553.49400000001,6561.27333333333,6558.12222222222
